survival_functions,epochs,chance_rot_cycle,chance_rot_right,chance_invert,chance_erase_stop,chance_add_stop,chance_add_stop_mix,chance_replace_stops,chance_replace_stops_proximity,chance_create_line,chance_cycle,chance_erase_line,chance_merge,chance_merge_mix,chance_split,cycle_stops_shift,chance_merge_specimen,chance_cycle_stops_shift,chance_line_based_merge,fitness
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.2,34.265141180648364
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.2,34.71746064448781
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.8,32.315980549420225
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.8,0.2,33.71376841869098
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.2,33.60377060663325
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.8,32.577633940118545
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.8,0.8,32.127075617597335
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.8,32.84982696545205
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.2,0.2,34.26607675881452
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.2,0.2,33.51879500761235
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.2,0.8,33.35937395522192
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.8,0.2,33.596784759973154
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.8,0.2,33.571930121511855
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.2,0.8,33.17697192575307
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.8,0.8,32.768352710051
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.8,0.8,32.74007033724077
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.2,32.48725373659381
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.2,32.67602867031354
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.8,32.272448806505125
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.2,33.02876001665994
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.8,32.04391282092603
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.8,0.2,32.12110577711169
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.8,31.82186119368428
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.8,0.8,32.389373747869314
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.2,0.2,32.60836960118052
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.8,0.2,32.338615869082275
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.2,0.8,32.83924150352703
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.2,0.2,32.98543864156418
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.8,0.8,31.984267684227508
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.2,0.8,31.745141864592597
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.8,0.2,31.565910055946134
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.2,32.78653274405762
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.8,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.8,0.8,31.548907844822892
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.2,33.08798548580236
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.2,33.11002465253317
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.8,33.00487765068116
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.8,32.313364627539734
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.8,0.2,31.95145767795958
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.8,33.85461028191989
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.2,0.2,34.32441704926705
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.8,0.8,32.26358441164988
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.8,0.2,32.56247367417367
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.2,0.8,32.83412890413582
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.2,0.2,33.62752511874732
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.2,0.5,0.8,0.8,31.257521092774123
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.2,0.8,32.579462149326986
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.8,0.2,32.02114808735455
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.2,31.95981078058594
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.2,0.1,0.1,0.25,0.25,0.8,0.75,0.8,0.5,0.8,0.8,32.878956893132774
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.8,0.2,30.73210764839374
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.2,0.5,0.2,0.8,31.324793173413152
1,100,0.5,0.5,0.5,0.2,0.2,0.2,0.8,0.8,0.1,0.1,0.25,0.25,0.2,0.75,0.8,0.5,0.2,0.2,32.61455157277515
